ICAO,name,CMX,bpt_file,lw_rule,num_built,active,year_introduced,year_last_produced,year_retired,manufacturer,country,length,wingspan,wingspan_swept_folded,lw_rule2,engine_type,engine_position,num_engines,description,wing_position,wing_shape,wingtip_tanks,winglets,canards,amphibious,awacs,twin_boom,tail_position,num_tail_fins,Notes,bpt_file2
BE10,100 King Air,C,BE10_3D.jpg,AC2,383,True,1969,1983,,BEECH,USA,12.17,14,,,prop,['wings'],2,L2T,low,straight,False,False,False,False,False,False,fuselage,1,,
BE12,Be-12 Tchaika,M,beriev_BE12.jpg,AC0,150,True,1960,1973,,BERIEV,RUSSIA,30.11,29.84,,,prop,['wings'],2,A2T,high,straight,False,False,False,True,False,False,fuselage,2,,
BE18,"Model-18, C-45 Expeditor, AT-7 Navigator, AT-11, SNB-1",X,C-45.png,AC0,8500,True,1937,1970,,BEECH,USA,10.44,14.53,,,prop,['wings'],2,L2P,low,straight,False,False,False,False,False,False,fuselage,2,,
BE18S,Model-E18S,X,Beechcraft_E18S.png,AC0,615,True,1955,1970,,BEECH,USA,10.732,15.138,,,prop,['wings'],2,L2P,low,straight,False,False,False,False,False,False,fuselage,2,,
BE20,"200 Super King Air, C-12 Huron",X,C-12A_Huron.png,AC2,348,True,1972,,,BEECH,USA,13.34,16.61,,,prop,['wings'],2,L2T,low,straight,False,False,False,False,False,False,T-tail,1,,
BE23,23 Musketeer,C,Beech-23.jpg,AC2,4366,True,1963,1983,,BEECH,USA,7.6,10,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,,
BE33,33 Debonair,C,BE33_3D.jpg,AC0,3248,True,1960,1995,,BEECH,USA,7.77,10.01,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,,
BE35,35 Bonanza,C,BE-35.jpeg,AC0,17000,True,1947,1982,,BEECH,USA,8.05,10.21,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,V-tail,0,,
BE36,36 Bonanza,C,beechcraft_model_36_bonanza.jpg,AC2,4189,True,1968,,,BEECH,USA,8.38,10.21,,,prop,['nose'],1,L1P,low,straight,False,False,False,False,False,False,fuselage,1,,
BE40,"Beechjet 400, T-1A Jayhawk",X,BE40_3D.jpg,AC7,1039,True,1978,2009,,BEECH,USA,14.8,13.3,,,jet,['hips'],2,L2J,low,swept,False,False,False,False,False,False,T-tail,1,,
